anno,15m,30m,45m,1h,3h,6h,12h,24h
1934,nan,nan,nan,22.6,42,56.6,58.8,85
1935,nan,nan,nan,17.8,32.6,54.2,63.6,88
1936,nan,nan,nan,15.8,28,41.4,72,85.2
1937,nan,nan,nan,27.8,35.6,38.2,58.4,62.6
1938,nan,nan,nan,15,21.4,32,56,83
1939,nan,nan,nan,29.4,36.2,61,115.2,117.8
1940,nan,nan,nan,28.8,67,94,119,135.2
1941,nan,nan,nan,14.2,21,25.6,44,51
1942,nan,nan,nan,27,42,66.2,82.6,85.6
1943,nan,nan,nan,nan,nan,nan,nan,nan
1944,nan,nan,nan,nan,nan,nan,nan,nan
1945,nan,nan,nan,nan,nan,nan,nan,nan
1946,nan,nan,nan,18,32,46.2,58,74.4
1947,nan,nan,nan,24,32.6,35.8,37.8,64.6
1948,nan,nan,nan,28,40.4,45.8,64.6,87
1949,nan,nan,nan,28.8,37.6,55.6,74.4,97.4
1950,nan,nan,nan,55.8,58.2,58.4,71.4,71.4
1951,nan,23,nan,24.2,30.2,54.8,nan,117.5
1952,nan,13.2,nan,15.4,22,24,24.2,43.6
1953,nan,nan,nan,nan,nan,nan,nan,nan
1954,nan,nan,nan,15.4,23.6,32,55.6,60
1955,nan,nan,nan,nan,nan,nan,nan,nan
1956,nan,nan,nan,44.4,45.8,47.6,82.8,98.4
1957,nan,nan,nan,23.4,30,37,49,75
1958,nan,9.8,nan,14.8,23.8,31.4,58.6,86.6
1959,nan,nan,nan,nan,nan,nan,nan,nan
1960,nan,20,25,27.2,55.4,81.6,141.6,163.8
1961,13.2,nan,nan,27.2,49,58.6,72.6,108.4
1962,14.4,23.8,nan,27.4,39.8,45.4,55,83.8
1963,28,40,47,54.8,56.6,56.8,56.8,81.8
1964,22,24.2,24.8,25.8,29,33.8,50.2,63.6
1965,nan,nan,nan,nan,nan,nan,nan,nan
1966,15.8,20.6,22.6,27,39,68,124,192
1967,9,10.2,12,13,29,51,61,72.6
1968,14,17,18,21,33.2,37.2,51.4,67.2
1969,nan,nan,nan,nan,nan,nan,nan,nan
1970,nan,nan,nan,nan,nan,nan,nan,nan
1971,8.8,12,14,14.6,31.6,39.6,45.2,67.6
1972,5.2,8.4,9.6,12.6,29.4,48.8,51.2,51.2
1973,10.4,14.6,17.4,18.8,21.2,33.4,59.4,66.4
1974,9.4,13,15.4,18.8,34,44,45,51.6
1975,nan,nan,nan,18.8,20,30,55,97
1976,nan,20.6,nan,22.8,33,56,98,169
1977,7.8,11.2,11.4,12.8,20,33.6,45,68.8
1978,19,22,23.6,25.2,26.8,27.4,52.6,93
1979,13.2,14.4,17,19.2,34.6,54.2,108,153.8
1980,10.4,13.2,nan,21.4,58.6,103.8,152.2,182
1981,19.8,23.6,25,31.2,79,79,81,162
1982,15,17.6,18.8,19,31.6,49.8,87.4,101.2
1983,10.2,14,20.8,24.2,33.2,37,56,72.4
1984,12.2,14.4,18.8,19.6,20.8,29.6,40.2,56.8
1985,nan,nan,nan,nan,nan,nan,nan,nan
1986,10.6,17.6,17.6,17.6,22.6,31.8,33.4,53.8
1987,10,18,22.6,30,50,67,95,115.2
1988,10.8,15.8,23,26.8,41.8,58,62.4,85.8
1989,14.4,19,19.2,20.8,27.6,37.4,48.8,71.8
1990,13.6,18,20.4,22.6,28.8,44,63.4,94.2
1991,nan,16,18.6,18.6,24,45.5,75.8,105.6
1992,nan,8,10,13.4,20.6,34.6,60,77.8
1993,nan,nan,nan,nan,nan,nan,nan,nan
1994,nan,nan,nan,nan,nan,nan,nan,nan
1995,nan,nan,nan,nan,nan,nan,nan,nan
1996,nan,nan,nan,nan,nan,nan,nan,nan
1997,8.8,10.4,12.8,13.8,23.8,37.6,61.4,70.6
1998,13.6,20.2,24.2,29.6,34,48.4,66.2,80.2
1999,21,26.6,29,36.4,69.2,70.8,119.4,134.6
2000,23.2,33,34.8,36.4,42.2,52.8,90,120.4
2001,nan,nan,nan,nan,nan,nan,nan,nan
2002,nan,nan,nan,nan,nan,nan,nan,nan
2003,16.2,27,34.8,37.4,38.8,62.8,101,121.6
2004,25.8,37.4,40.2,42.2,43,45.2,57.6,80.4
2005,11.4,15.6,17,18.4,27.2,35.2,43.8,44.6
2006,9.8,13.4,16.6,17.6,36.6,51,55.8,68
